ingestion_year,ingestion_month,ingestion_day,id_sistema_cliente,macroactivo,cod_activo,aba,cod_perfil_riesgo,cod_banca,year,month
2023,12,20,1.00114E+12,Renta Variable,1004,2370000,1466,PN,2023,12
2024,2,1,10020203023,FICs,None,445708066,1468,PR,2024,2
2024,3,22,10032184607,Renta Variable,1011,8288500,1468,PN,2024,3
2024,2,27,1.00902E+11,FICs,1019,1049541789,1467,PF,2024,2
2023,12,11,1.00103E+12,Renta Variable,1004,1232500,1468,PN,2023,12
2024,1,24,10041560001,Renta Variable,1004,1147500,1466,PN,2024,1
2024,1,9,10041560001,Renta Variable,1004,1222500,1466,PN,2024,1
2023,12,5,1.00114E+12,,1004,2545000,1466,PN,2023,12
2024,4,15,10032184607,Renta Variable,1022,3287434.68,1468,,2024,4
2023,11,27,10071747544,FICs,10007,599285.91,1469,PN,2023,11
2024,4,26,10079142847,Renta Variable,1014,3578800,1468,PF,2024,4
2024,1,24,10039616197,Renta Variable,1004,2295000,1466,PN,2024,1
2024,2,1,10032184607,Renta Variable,1015,5720000,1468,PN,2024,2
2024,4,15,10032184607,Renta Variable,1017,8736000,1468,PN,2024,4
2024,1,15,10079142847,Renta Variable,1014,3585700,1468,PF,2024,1
2023,12,21,10032184607,FICs,1019,75788.31,1468,PN,2023,12
2023,11,24,10038643094,Renta Variable,1005,74810.5,1466,PN,2023,11
2023,12,7,10079142847,Renta Variable,1004,3648130,1468,PF,2023,12
2024,1,4,10020203023,Renta Fija,1000,366756000,1468,PR,2024,1
2024,4,23,1.00109E+12,FICs,10007,1759.04,1468,PN,2024,4
2024,2,1,10038643094,FICs,1018,8564476.19,1466,PN,2024,2
2023,11,29,10079142847,Renta Variable,1004,3774440,1468,PF,2023,11
2024,,27,10098522488,Renta Variable,1004,2992500,1466,PN,2024,3
2024,1,18,10020203023,Renta Fija,1000,368660900,1468,PR,2024,1
2023,12,21,10032184607,Renta Variable,1016,4269300,1468,PN,2023,12
2024,3,5,1.009E+11,FICs,1019,22055297.68,1467,PF,2024,3
2024,5,3,1.009E+11,FICs,1019,2280623.29,1467,PF,2024,5
2024,4,1,10026419826,Renta Variable,1005,90535,1466,,2024,4
2024,1,3,1.00114E+12,FICs,10007,10194.14,1468,PN,2024,1
2024,3,21,10032184607,Renta Variable,1015,7040000,1468,PN,2024,3
2024,3,20,10032184607,Renta Variable,1016,5306700,1468,PN,2024,3
2023,12,13,1.00105E+12,Renta Variable,1004,2460000,1466,PN,2023,12
2024,4,4,10079142847,Renta Variable,1017,2926400,1468,PF,2024,4
2024,2,5,1.00109E+12,FICs,10007,1725.49,1468,PN,2024,2
2024,3,25,1.009E+11,FICs,10007,370162862,1467,PF,2024,3
2024,2,22,1.0089E+11,FICs,1019,1464638.5,1468,PR,2024,2
2023,11,28,1004870235,Renta Variable,1004,8341200,1469,PN,2023,11
2023,12,19,10039553126,FICs,1018,626581.27,1466,PN,2023,12
2023,12,14,10036346714,Renta Variable,1004,1250000,1466,PN,2023,12
2024,4,25,10042890695,FICs,10007,28537630.41,None,PN,2024,4
2024,4,23,10079142847,Renta Variable,1004,3358360,1468,PF,2024,4
2024,4,10,10020203023,Renta Fija,1000,367034200,1468,PR,2024,4
2024,4,25,10036346714,Renta Variable,1004,1150000,1466,PN,2024,4
2024,1,23,10066848163,FICs,1007,2060594.52,1466,PN,2024,1
2024,3,21,10020203023,FICs,1008,156631588.7,1468,PR,2024,3
2024,4,5,10020203023,Renta Fija,1000,366680800,1468,PR,2024,4
2024,3,15,10039616197,Renta Variable,1005,90535,1466,PN,2024,3
2024,5,2,10020203023,FICs,1008,156797327.4,1468,PR,2024,5
2023,11,29,10041560001,Renta Variable,1004,1270000,1466,PN,2023,11
2024,1,8,1.008E+11,FICs,1019,423026696,1467,PY,2024,1
2023,12,5,10039616197,Renta Variable,1005,74810.5,1466,PN,2023,12
2023,11,30,10041560001,Renta Variable,1004,1267500,1466,PN,2023,11
2024,2,16,10066848163,FICs,10007,2764120.05,1466,PN,2024,2
2024,5,1,1.00103E+12,Renta Variable,1004,1155000,1468,PN,2024,5
2024,1,22,1.00101E+12,FICs,10007,30401781.09,1468,PN,2024,1
2024,3,14,,890112256,FICs,1008,22350729.74,1468,PR,2024
2024,3,7,10020203023,FICs,1019,137306897.9,1468,PR,2024,3
2024,1,29,10098522488,Renta Variable,1004,3600000,1466,PN,2024,1
2024,1,29,10020203023,FICs,None,446361077.6,1468,PR,2024,1
2024,4,15,10032184607,Renta Variable,1002,12840000,1468,PN,2024,4
2024,4,5,10079142847,Renta Variable,1017,3177500,1468,PF,2024,4
2024,3,29,1.009E+11,FICs,1019,22218058.98,1467,PF,2024,3
2024,1,8,10038643094,FICs,10007,283161.77,1466,PN,2024,1
2024,1,24,10039553126,FICs,1018,641420.06,,PN,2024,1
2024,1,16,10039616197,Renta Variable,,2375000,1466,PN,2024,1
2024,3,13,10039616197,Renta Variable,1012,14958720,1466,PN,2024,3
2023,12,8,10039616197,Renta Variable,1005,74810.5,1466,PN,2023,12
2024,4,25,10021382511,Renta Variable,1004,2300000,1466,PN,2024,4
2023,12,14,10032184607,Renta Variable,1011,7370600,1468,PN,2023,12
2024,2,7,10039616197,Renta Variable,1004,2355000,1466,PN,2024,2
2024,,23,10021382511,Renta Variable,1004,2340000,1466,PN,2024,2
2024,4,29,10039538018,FICs,10007,339045.18,1468,,2024,4
2024,4,15,1.00114E+12,Renta Variable,1004,2240000,1466,PN,2024,4
2024,2,29,1.00901E+11,,1019,1057238490,1467,EG,2024,2
2024,2,14,1.00103E+12,Renta Variable,1004,1137500,1468,PN,2024,2
2024,2,19,10032184607,Renta Variable,None,4356750,1468,PN,2024,2
2024,5,10,1.00103E+12,Renta Variable,1004,1140000,,PN,2024,5
2024,3,27,,Renta Variable,1017,2914000,1468,PF,2024,3
2023,12,14,10098522488,Renta Variable,1004,3750000,1466,PN,2023,12
2024,2,16,1.00114E+12,FICs,10007,10319.52,1468,PN,2024,2
2024,2,12,10032184607,Renta Variable,None,4329000,1468,PN,2024,2
2023,12,21,1.0089E+11,FICs,1008,21660158.61,1468,PR,2023,12
2023,12,5,10039616197,Renta Variable,1012,12889600,,PN,2023,12
2023,12,20,10020203023,FICs,1019,94603994.58,1468,PR,2023,12
2024,4,19,10020203023,FICs,1008,155899647.7,1468,PR,2024,4
2024,4,8,10039553126,FICs,1018,650060.72,1466,PN,2024,4
2024,1,19,10039616197,Renta Variable,1005,102924,1466,PN,2024,1
2024,4,12,10071747544,FICs,1007,371730.86,1469,PN,2024,4
2024,4,8,1.0083E+11,Renta Variable,1005,150860,1466,PY,2024,4
2024,2,13,1.0083E+11,Renta Variable,1005,168328,1466,PY,2024,2
2024,1,18,10032184607,Renta Variable,1022,4560276.12,1468,PN,2024,1
2024,5,6,10020203023,FICs,1020,66039608.29,1468,PR,2024,5
2024,1,31,1.00114E+12,Renta Variable,1004,2390000,1466,PN,2024,1
2023,12,19,10020203023,FICs,1008,101238018.5,1468,PR,2023,12
2024,2,6,10020203023,Renta Fija,1000,365371400,1468,PR,2024,2
2024,1,26,10079142847,Renta Variable,1017,2666000,1468,PF,2024,1
2024,1,26,10039616197,Renta Variable,1005,102924,1466,PN,2024,1
2024,2,7,10042890695,FICs,10007,34006188.4,None,PN,2024,2
2024,3,6,1.00105E+12,Renta Variable,1004,2120000,1466,PN,2024,3
