ingestion_year,ingestion_month,ingestion_day,id_sistema_cliente,simbol,cusip,isin,nombre_activo,cantidad,valor_mercado,fecha_vencimiento,tasa_cupon
2024,4,26,1004870235,None,L4058R217,LU0109391861,FRANKLIN U.S. OPPORTUNITIES FUND CLASS A (ACC)(USD)   ,6249.938,190810.61,1/01/1900,0
2024,4,26,1004870235,None,L1R49P707,LU1196525536,BGF CONTINENTAL EUROPEAN FLEXIBLE FUND CLASS A2 (HEDGED) (USD)  ,5973.45,155668.11,1/01/1900,0
2024,4,26,1004870235,DLPG,MONEYMRKT,Liquidez,BNY MELLON US DOLLAR LIQD SERV,0,17736.4,1/01/1900,0
2024,4,26,1004870235,None,L8145U257,LU0181495838,SCHRODER ISF EMERGING ASIA FUND CLASS A (USD)   ,506.64,23989.96,1/01/1900,0
2024,4,26,1004870235,XLB,81369Y100,US81369Y1001,SELECT SECTOR SPDR TR MATLS    ,570,50353.8,1/01/1900,0
2024,4,26,1004870235,GOOG,02079K107,US02079K1079,ALPHABET INC CAP STK CL C    ,140,22554,1/01/1900,0
2024,4,26,1004870235,NFLX,64110L106,US64110L1061,NETFLIX INC COM     ,19,10547.28,1/01/1900,0
2024,4,26,1004870235,VGK,922042874,US9220428745,VANGUARD INTL EQUITY INDEX FDS FTSE EUROPE ETF   ,286,18878.86,1/01/1900,0
2024,4,26,1004870235,None,L8146N369,LU0557290698,SCHRODER ISF SUSTAINABLE GROWTH FUND CLASS A (ACC)(USD)  ,416.24,150808.83,1/01/1900,0
2024,4,26,1004870235,None,L8146B779,LU0133713346,SCHRODER ISF ASIAN OPPORTUNITIES FUND CLASS A1 (ACC)   ,3281.6,62776.35,1/01/1900,0
2024,4,26,1004870235,None,L54486425,LU2114231884,NINETY ONE GSF GLOBAL MULTI-ASSET INCOME FUND CLASS A (INC)(USD)  ,2303.999,47278.06,1/01/1900,0
2024,4,26,1004870235,EEM,464287234,US4642872349,ISHARES TR MSCI EMERGING MKTS INDEX FD   ,935,37970.35,1/01/1900,0
2024,4,26,1004870235,AMZN,23135106,US0231351067,AMAZON COM INC COM     ,100,17659,1/01/1900,0
2024,4,26,1004870235,None,L104AG738,LU0784385840,BGF GLOBAL MULTI ASSET INCOME FUND CLASS A2 (USD)   ,2195.05,33737.92,1/01/1900,0
2024,4,26,1004870235,None,L5447Q166,LU0426412945,NINETY ONE GSF GLOBAL FRANCHISE FUND CLASS A (ACC)(USD)  ,3737.538,302366.82,1/01/1900,0
2024,4,26,1004870235,DIS,254687106,US2546871060,DISNEY WALT CO DISNEY COM    ,50,5696,1/01/1900,0
2024,4,26,1004870235,META,30303M102,US30303M1027,META PLATFORMS INC CL A    ,55,27142.5,1/01/1900,0
2024,4,26,1004870235,AAPL,37833100,US0378331005,APPLE INC COM     ,1466,247783.32,1/01/1900,0
2024,4,26,1004870235,BRK B,84670702,US0846707026,BERKSHIRE HATHAWAY INC DEL CL B NEW    ,505,205004.75,1/01/1900,0
2024,5,30,1004870235,AMZN,23135106,US0231351067,AMAZON COM INC COM     ,100,18215,1/01/1900,0
2024,5,30,1004870235,VGK,922042874,US9220428745,VANGUARD INTL EQUITY INDEX FDS FTSE EUROPE ETF   ,286,19902.74,1/01/1900,0
2024,5,30,1004870235,GOOG,02079K107,US02079K1079,ALPHABET INC CAP STK CL C    ,140,24922.8,1/01/1900,0
2024,5,30,1004870235,XLB,81369Y100,US81369Y1001,SELECT SECTOR SPDR TR MATLS    ,570,51875.7,1/01/1900,0
2024,5,30,1004870235,DLPG,MONEYMRKT,Liquidez,BNY MELLON US DOLLAR LIQD SERV,0,18069.11,1/01/1900,0
2024,5,30,1004870235,None,L8145U257,LU0181495838,SCHRODER ISF EMERGING ASIA FUND CLASS A (USD)   ,506.64,25492.4,1/01/1900,0
2024,5,30,1004870235,None,L8146N369,LU0557290698,SCHRODER ISF SUSTAINABLE GROWTH FUND CLASS A (ACC)(USD)  ,416.24,158404.38,1/01/1900,0
2024,5,30,1004870235,BRK B,84670702,US0846707026,BERKSHIRE HATHAWAY INC DEL CL B NEW    ,505,203969.5,1/01/1900,0
2024,5,30,1004870235,None,L54486425,LU2114231884,NINETY ONE GSF GLOBAL MULTI-ASSET INCOME FUND CLASS A (INC)(USD)  ,2310.814,47625.88,1/01/1900,0
2024,5,30,1004870235,None,L104AG738,LU0784385840,BGF GLOBAL MULTI ASSET INCOME FUND CLASS A2 (USD)   ,2195.05,34286.68,1/01/1900,0
2024,5,30,1004870235,EEM,464287234,US4642872349,ISHARES TR MSCI EMERGING MKTS INDEX FD   ,935,40167.6,1/01/1900,0
2024,5,30,1004870235,DIS,254687106,US2546871060,DISNEY WALT CO DISNEY COM    ,50,5122,1/01/1900,0
2024,5,30,1004870235,AAPL,37833100,US0378331005,APPLE INC COM     ,1466,278525.34,1/01/1900,0
2024,5,30,1004870235,None,L1R49P707,LU1196525536,BGF CONTINENTAL EUROPEAN FLEXIBLE FUND CLASS A2 (HEDGED) (USD)  ,5973.45,159013.24,1/01/1900,0
2024,5,30,1004870235,None,L5447Q166,LU0426412945,NINETY ONE GSF GLOBAL FRANCHISE FUND CLASS A (ACC)(USD)  ,3737.538,307113.5,1/01/1900,0
2024,5,30,1004870235,None,L4058R217,LU0109391861,FRANKLIN U.S. OPPORTUNITIES FUND CLASS A (ACC)(USD)   ,6249.938,202685.49,1/01/1900,0
2024,5,30,1004870235,META,30303M102,US30303M1027,META PLATFORMS INC CL A    ,55,26395.6,1/01/1900,0
2024,5,30,1004870235,None,L8146B779,LU0133713346,SCHRODER ISF ASIAN OPPORTUNITIES FUND CLASS A1 (ACC)   ,3281.6,66138.02,1/01/1900,0
2024,5,30,1004870235,NFLX,64110L106,US64110L1061,NETFLIX INC COM     ,19,12331,1/01/1900,0
2024,3,1,1004870235,nan,L8145U257,LU0181495838,SCHRODER ISF EMERGING ASIA FUND CLASS A (USD)   ,506.64,23250.02,1/01/1900,0
2024,3,1,1004870235,NFLX,64110L106,US64110L1061,NETFLIX INC COM     ,19,8296.35,1/01/1900,0
2024,3,1,1004870235,nan,L5447Q166,LU0426412945,NINETY ONE GSF GLOBAL FRANCHISE FUND CLASS A (ACC)(USD)  ,3737.538,288575.31,1/01/1900,0
2024,3,1,1004870235,DIS,254687106,US2546871060,DISNEY WALT CO DISNEY COM    ,50,4696.5,1/01/1900,0
2024,3,1,1004870235,DIS,254687106,US2546871060,DISNEY WALT CO DISNEY COM    ,50,4278,1/01/1900,0
2024,3,1,1004870235,META,30303M102,US30303M1027,META PLATFORMS INC CL A    ,55,17890.4,1/01/1900,0
2024,3,1,1004870235,nan,L4058R217,LU0109391861,FRANKLIN U.S. OPPORTUNITIES FUND CLASS A (ACC)(USD)   ,6249.938,185435.66,1/01/1900,0
2024,3,1,1004870235,DLPG,MONEYMRKT,Liquidez,BNY MELLON US DOLLAR LIQD SERV,0,78842.59,1/01/1900,0
2024,3,1,1004870235,XLB,81369Y100,US81369Y1001,SELECT SECTOR SPDR TR MATLS    ,570,49139.7,1/01/1900,0
2024,3,1,1004870235,XLB,81369Y100,US81369Y1001,SELECT SECTOR SPDR TR MATLS    ,570,45531.6,1/01/1900,0
2024,3,1,1004870235,USD,USD999997,Liquidez,CASH,0,489.59,1/01/1900,0
2024,3,1,1004870235,VGK,922042874,US9220428745,VANGUARD INTL EQUITY INDEX FDS FTSE EUROPE ETF   ,286,17866.42,1/01/1900,0
2024,3,1,1004870235,nan,L8146N369,LU0557290698,SCHRODER ISF SUSTAINABLE GROWTH FUND CLASS A (ACC)(USD)  ,416.24,146702.62,1/01/1900,0
2024,3,1,1004870235,nan,L8145U257,LU0181495838,SCHRODER ISF EMERGING ASIA FUND CLASS A (USD)   ,506.64,24556.84,1/01/1900,0
2024,3,1,1004870235,EEM,464287234,US4642872349,ISHARES TR MSCI EMERGING MKTS INDEX FD   ,935,37325.2,1/01/1900,0
2024,3,1,1004870235,DLPG,MONEYMRKT,Liquidez,BNY MELLON US DOLLAR LIQD SERV,0,97525.16,1/01/1900,0
2024,3,1,1004870235,nan,L104AG738,LU0784385840,BGF GLOBAL MULTI ASSET INCOME FUND CLASS A2 (USD)   ,2195.05,33379.01,1/01/1900,0
2024,3,1,1004870235,META,30303M102,US30303M1027,META PLATFORMS INC CL A    ,55,17287.05,1/01/1900,0
2024,3,1,1004870235,nan,L5447Q166,LU0426412945,NINETY ONE GSF GLOBAL FRANCHISE FUND CLASS A (ACC)(USD)  ,3737.538,284800.4,1/01/1900,0
2024,3,1,1004870235,nan,L8146N369,LU0557290698,SCHRODER ISF SUSTAINABLE GROWTH FUND CLASS A (ACC)(USD)  ,416.24,151520.43,1/01/1900,0
2024,3,1,1004870235,META,30303M102,US30303M1027,META PLATFORMS INC CL A    ,55,22056.1,1/01/1900,0
2024,3,1,1004870235,nan,L8146N369,LU0557290698,SCHRODER ISF SUSTAINABLE GROWTH FUND CLASS A (ACC)(USD)  ,416.24,139363.27,1/01/1900,0
2024,3,1,1004870235,AAPL,37833100,US0378331005,APPLE INC COM     ,1466,282322.28,1/01/1900,0
2024,3,1,1004870235,VGK,922042874,US9220428745,VANGUARD INTL EQUITY INDEX FDS FTSE EUROPE ETF   ,286,17217.2,1/01/1900,0
2024,3,1,1004870235,DIS,254687106,US2546871060,DISNEY WALT CO DISNEY COM    ,50,4874.5,1/01/1900,0
2024,3,1,1004870235,BRK B,84670702,US0846707026,BERKSHIRE HATHAWAY INC DEL CL B NEW    ,505,180178.95,1/01/1900,0
2024,3,1,1004870235,NFLX,64110L106,US64110L1061,NETFLIX INC COM     ,19,8164.3,1/01/1900,0
2024,3,1,1004870235,AAPL,37833100,US0378331005,APPLE INC COM     ,1466,277616.42,1/01/1900,0
2024,3,1,1004870235,nan,L1R49P707,LU1196525536,BGF CONTINENTAL EUROPEAN FLEXIBLE FUND CLASS A2 (HEDGED) (USD)  ,5973.45,135348.45,1/01/1900,0
2024,3,1,1004870235,nan,L4058R217,LU0109391861,FRANKLIN U.S. OPPORTUNITIES FUND CLASS A (ACC)(USD)   ,6249.938,177435.74,1/01/1900,0
2024,3,1,1004870235,VGK,922042874,US9220428745,VANGUARD INTL EQUITY INDEX FDS FTSE EUROPE ETF   ,286,18549.96,1/01/1900,0
2024,3,1,1004870235,nan,L1R49P707,LU1196525536,BGF CONTINENTAL EUROPEAN FLEXIBLE FUND CLASS A2 (HEDGED) (USD)  ,5973.45,140452.06,1/01/1900,0
2024,3,1,1004870235,DLPG,MONEYMRKT,Liquidez,BNY MELLON US DOLLAR LIQD SERV,0,79125.22,1/01/1900,0
2024,3,1,1004870235,AMZN,23135106,US0231351067,AMAZON COM INC COM     ,100,16126,1/01/1900,0
2024,3,1,1004870235,META,30303M102,US30303M1027,META PLATFORMS INC CL A    ,55,17084.1,1/01/1900,0
2024,3,1,1004870235,AAPL,37833100,US0378331005,APPLE INC COM     ,1466,283157.9,1/01/1900,0
